x_cm,phi_g1,phi_g2,phi_g3,phi_g4
1.020000000000000000e+02,7.045055944431085938e+13,3.082585755818437500e+13,1.927503566455707031e+13,1.884016395431219922e+13
1.025000000000000000e+02,6.928503062530945312e+13,3.031590293046265234e+13,1.895620130008005859e+13,1.852855093996286719e+13
1.030000000000000000e+02,6.813830483380867969e+13,2.981416973094570312e+13,1.864250131730751172e+13,1.822195200422425781e+13
1.035000000000000000e+02,6.701006969048267188e+13,2.932052247012457422e+13,1.833385205639505859e+13,1.792028593789283984e+13
1.040000000000000000e+02,6.590001805464176562e+13,2.883482771915635156e+13,1.803017097879141797e+13,1.762347257957468359e+13
1.045000000000000000e+02,6.480784790422174219e+13,2.835695410075899219e+13,1.773137668634772656e+13,1.733143283192484766e+13
1.050000000000000000e+02,6.373326222289084375e+13,2.788677227535163281e+13,1.743738893410058984e+13,1.704408867441855078e+13
1.055000000000000000e+02,6.267596889341676562e+13,2.742415492344155078e+13,1.714812863773625000e+13,1.676136317268879688e+13
1.060000000000000000e+02,6.163568059654644531e+13,2.696897672507517969e+13,1.686351787660263867e+13,1.648318048459106836e+13
1.065000000000000000e+02,6.061211471473903125e+13,2.652111433701756250e+13,1.658347989301060547e+13,1.620946586323150391e+13
1.070000000000000000e+02,5.960499324018700781e+13,2.608044636819962109e+13,1.630793908845745508e+13,1.594014565723684180e+13
1.075000000000000000e+02,5.861404268662835156e+13,2.564685335386925391e+13,1.603682101731114062e+13,1.567514730855967578e+13
1.080000000000000000e+02,5.763899400452767188e+13,2.522021772879961719e+13,1.577005237841201758e+13,1.541439934811366406e+13
1.085000000000000000e+02,5.667958249926101562e+13,2.480042379983751562e+13,1.550756100497831641e+13,1.515783138952069141e+13
1.090000000000000000e+02,5.573554775198918750e+13,2.438735771802060938e+13,1.524927585314140820e+13,1.490537412123538281e+13
1.095000000000000000e+02,5.480663354295278906e+13,2.398090745044548438e+13,1.499512698938506445e+13,1.465695929728998242e+13
