x_cm,phi_g1,phi_g2,phi_g3,phi_g4
5.150000000000000000e+01,1.157624643678512188e+14,4.935698048743227344e+13,3.085887067112499609e+13,3.534577561197312500e+13
5.200000000000000000e+01,1.144933428127737188e+14,4.882461715522625781e+13,3.052890183610610547e+13,3.496009373853611328e+13
5.250000000000000000e+01,1.131633896017600781e+14,4.826799552491683594e+13,3.018395876324793359e+13,3.455464544302727734e+13
5.300000000000000000e+01,1.117732719515768750e+14,4.768769792509115625e+13,2.982435895518065234e+13,3.412901355249461719e+13
5.350000000000000000e+01,1.103237151190997812e+14,4.708437632338149219e+13,2.945043589744747266e+13,3.368258134590573438e+13
5.400000000000000000e+01,1.088155155625648125e+14,4.645876210610444531e+13,2.906253609331831250e+13,3.321447087420341797e+13
5.450000000000000000e+01,1.072495588008734375e+14,4.581167729252928906e+13,2.866101457702416016e+13,3.272346426794562109e+13
5.500000000000000000e+01,1.056268433924109062e+14,4.514404729709116406e+13,2.824622842386370703e+13,3.220790350520451562e+13
5.550000000000000000e+01,1.039485128527503438e+14,4.445691532519505469e+13,2.781852765162035156e+13,3.166556292835589844e+13
5.600000000000000000e+01,1.022158978386529375e+14,4.375145844156994531e+13,2.737824275667084766e+13,3.109348730574511328e+13
5.650000000000000000e+01,1.004305715661481562e+14,4.302900527700991406e+13,2.692566794529676172e+13,3.048778635183225781e+13
5.700000000000000000e+01,9.859442224077051562e+13,4.229105523013083594e+13,2.646103890076992969e+13,2.984337424443374219e+13
5.750000000000000000e+01,9.670974730424765625e+13,4.153929886275511719e+13,2.598450366411392188e+13,2.915363967956281250e+13
5.800000000000000000e+01,9.477937560912925000e+13,4.077563896412110938e+13,2.549608489516538672e+13,2.841002821729056250e+13
5.850000000000000000e+01,9.280682526367189062e+13,4.000221144812156250e+13,2.499563141486634375e+13,2.760151388509486328e+13
5.900000000000000000e+01,9.079650697954740625e+13,3.922140482144048438e+13,2.448275650435464062e+13,2.671393094978415625e+13
5.950000000000000000e+01,8.875398536974232812e+13,3.843587638131802344e+13,2.395675994738940234e+13,2.572912910295282422e+13
6.000000000000000000e+01,8.668631396587160938e+13,3.764856252255466406e+13,2.341653024828097266e+13,2.462390559117806641e+13
6.050000000000000000e+01,8.462199231162664062e+13,3.685296780182144531e+13,2.285985938723338281e+13,2.349961185592297656e+13
6.100000000000000000e+01,8.258888601266846875e+13,3.605883852854878125e+13,2.232168429108017969e+13,2.253299576813210547e+13
6.150000000000000000e+01,8.059286265922843750e+13,3.526886367898698438e+13,2.179964447808303516e+13,2.168927919898341406e+13
6.200000000000000000e+01,7.863793173033532812e+13,3.448536498060287109e+13,2.129197725823835938e+13,2.094178582163510938e+13
6.250000000000000000e+01,7.672671079253670312e+13,3.371031835436487891e+13,2.079737784528463281e+13,2.027006012227848047e+13
6.300000000000000000e+01,7.486078033498043750e+13,3.294538181562283203e+13,2.031488858703784375e+13,1.965842171803896094e+13
6.350000000000000000e+01,7.304095331445064062e+13,3.219192640943864453e+13,1.984381189871452344e+13,1.909485413974492969e+13
6.400000000000000000e+01,7.126747943751928125e+13,3.145106786512993750e+13,1.938364235705345312e+13,1.857015069898987109e+13
6.450000000000000000e+01,6.954019955081944531e+13,3.072369745634139844e+13,1.893401417937661328e+13,1.807725802719362500e+13
6.500000000000000000e+01,6.785866194697498438e+13,3.001051112654055078e+13,1.849466097377264062e+13,1.761077164510157031e+13
6.550000000000000000e+01,6.622220963541657031e+13,2.931203634443889453e+13,1.806538521122700000e+13,1.716654848206283203e+13
6.600000000000000000e+01,6.463004552187727344e+13,2.862865643468325000e+13,1.764603534693511719e+13,1.674140936903021484e+13
6.650000000000000000e+01,6.308128081407708594e+13,2.796063231937449609e+13,1.723648891629368750e+13,1.633291075279898633e+13
6.700000000000000000e+01,6.157497072029417188e+13,2.730812173066490234e+13,1.683664026128431055e+13,1.593916966105030859e+13
6.750000000000000000e+01,6.011014055827584375e+13,2.667119603260558203e+13,1.644639181476264258e+13,1.555872962431039648e+13
6.800000000000000000e+01,5.868580464074360156e+13,2.604985483482985938e+13,1.606564809237057227e+13,1.519045808907263477e+13
6.850000000000000000e+01,5.730097975171004688e+13,2.544403860238862500e+13,1.569431172230784766e+13,1.483346803291580273e+13
6.900000000000000000e+01,5.595469458944849219e+13,2.485363947187693750e+13,1.533228098896350000e+13,1.448705816833168555e+13
6.950000000000000000e+01,5.464599621623142188e+13,2.427851047952275391e+13,1.497944848341930469e+13,1.415066741282550781e+13
7.000000000000000000e+01,5.337395430766766406e+13,2.371847339612956250e+13,1.463570054722320117e+13,1.382384029744543750e+13
7.050000000000000000e+01,5.213766379561381250e+13,2.317332534909789844e+13,1.430091726992033789e+13,1.350620075240758008e+13
7.100000000000000000e+01,5.093624635057238281e+13,2.264284439531094922e+13,1.397497285925670898e+13,1.319743229930619922e+13
7.150000000000000000e+01,4.976885104031756250e+13,2.212679419173614062e+13,1.365773624875452930e+13,1.289726313483075977e+13
7.200000000000000000e+01,4.863465441127034375e+13,2.162492789385994531e+13,1.334907184299211523e+13,1.260545494196350391e+13
7.250000000000000000e+01,4.753286017585587500e+13,2.113699139627146875e+13,1.304884032845258789e+13,1.232179453518383594e+13
7.300000000000000000e+01,4.646269864328889062e+13,2.066272601509019531e+13,1.275689949890374609e+13,1.204608765466045703e+13
7.350000000000000000e+01,4.542342598681328906e+13,2.020187069848875000e+13,1.247310506028952344e+13,1.177815438495469922e+13
7.400000000000000000e+01,4.441432342168485156e+13,1.975416383970479688e+13,1.219731139214776758e+13,1.151782579733173828e+13
7.450000000000000000e+01,4.343469634162121875e+13,1.931934475622738281e+13,1.192937225149347266e+13,1.126494150982392383e+13
7.500000000000000000e+01,4.248387344565699219e+13,1.889715488949105859e+13,1.166914141162437500e+13,1.101934793223036523e+13
7.550000000000000000e+01,4.156120588394326562e+13,1.848733877135953516e+13,1.141647323297445312e+13,1.078089701930286719e+13
7.600000000000000000e+01,4.066606642980364062e+13,1.808964479643883984e+13,1.117122316639680078e+13,1.054944539834658008e+13
